"trial","ref_position","var_area","response","correct","rt"
1,"L",9.95160038443282,"R",TRUE,3.49300003051758
2,"R",10.8316067508422,"R",FALSE,1.28299999237061
3,"L",10.9230694163125,"R",TRUE,0.594000101089478
4,"R",10.6170309095178,"R",FALSE,0.398000001907349
5,"R",8.80394969368353,"L",FALSE,0.898000001907349
6,"L",8.16433571232483,"R",FALSE,0.892999887466431
7,"L",8.95618148101494,"R",FALSE,0.590999841690063
8,"R",11.9753008435946,"R",FALSE,0.610000133514404
9,"R",9.23073522956111,"R",FALSE,0.486000061035156
10,"R",11.063941106433,"L",TRUE,0.784000158309937
11,"R",9.91643580165692,"R",FALSE,0.598000049591064
12,"R",14.8949767122976,"R",FALSE,0.595999956130981
13,"R",12.3802936309949,"L",TRUE,0.601000070571899
14,"L",14.0835169816855,"R",TRUE,0.497999906539917
15,"L",11.8651100317948,"R",TRUE,0.595000028610229
16,"R",11.14292572462,"L",TRUE,2.09400010108948
17,"R",11.9691204011906,"R",FALSE,0.801999807357788
18,"L",13.2161176265217,"R",TRUE,0.194000005722046
19,"L",12.3692503191996,"R",TRUE,0.193000078201294
20,"L",12.6941448899452,"L",FALSE,0.294999837875366
21,"L",13.3273150883615,"L",FALSE,0.196000099182129
22,"L",11.9578061196953,"L",FALSE,0.186000108718872
23,"R",12.1176100317389,"R",FALSE,0.196000099182129
24,"L",8.21373132197186,"R",FALSE,0.394000053405762
25,"L",11.8758791615255,"L",FALSE,0.594000101089478
26,"R",14.4556690116879,"L",TRUE,0.291000127792358
27,"L",8.6847779895179,"L",TRUE,0.594000101089478
28,"L",13.9625873009209,"R",TRUE,0.398000001907349
29,"R",13.8808689948637,"L",TRUE,0.703000068664551
30,"L",9.24234900576994,"R",TRUE,0.392000198364258
31,"L",10.0878899358213,"R",TRUE,0.378999948501587
32,"R",12.8379940930754,"R",FALSE,0.394999980926514
33,"L",10.2285617324524,"R",TRUE,0.400000095367432
34,"L",9.12916812812909,"L",FALSE,0.409000158309937
35,"R",10.8875326686539,"R",FALSE,0.483999967575073
36,"R",12.4507629361469,"L",TRUE,0.499000072479248
37,"L",12.6072215724271,"L",FALSE,0.40500020980835
38,"R",12.4284502849914,"R",FALSE,0.301000118255615
39,"L",8.50871843309142,"R",FALSE,0.289000034332275
